poll_utc,categorie,libelle,zone_axe,type,sens,temps_live_min,temps_libre_min,retard_min,distance_km
2026-09-08T04:00:27Z,point,Douai,Douaisis,autoroute A1,vers_lille,31.7,31.1,0.6,42.2
2026-09-08T04:00:27Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,31.7,31.1,0.6,41.4
2026-09-08T04:00:27Z,point,Arras,Artois,autoroute A1,vers_lille,41.1,39.7,1.4,55.1
2026-09-08T04:00:27Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,45.1,42.6,2.5,42.2
2026-09-08T04:00:27Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,53.6,52.5,1.1,80.6
2026-09-08T04:00:27Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,36.0,36.0,0.1,48.3
2026-09-08T04:00:27Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,27.1,26.3,0.8,28.1
2026-09-08T04:00:27Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,35.7,34.5,1.2,51.3
2026-09-08T04:00:27Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,19.8,19.6,0.2,13.9
2026-09-08T04:00:27Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,21.1,20.2,1.0,25.7
2026-09-08T04:00:27Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,58.5,56.1,2.4,87.2
2026-09-08T04:00:27Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,55.5,51.2,4.3,75.1
2026-09-08T04:00:27Z,point,Wavrin,Weppes,départementale,vers_lille,20.1,20.0,0.1,19.3
2026-09-08T04:00:27Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,25.1,25.0,0.1,22.6
2026-09-08T04:00:27Z,point,Herlies,Weppes,départementale,vers_lille,22.2,22.1,0.1,23.2
2026-09-08T04:00:27Z,point,Fromelles,Weppes,départementale,vers_lille,24.2,23.8,0.4,22.1
2026-09-08T04:00:27Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,21.3,20.9,0.4,17.8
2026-09-08T04:00:27Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,23.4,22.9,0.5,23.0
2026-09-08T04:00:27Z,point,Cysoing,Pévèle,départementale,vers_lille,22.4,22.2,0.2,16.1
2026-09-08T04:00:27Z,point,Bourghelles,Pévèle,départementale,vers_lille,23.9,24.0,-0.1,23.3
2026-09-08T04:00:27Z,point,Péronne-en-Mélantois,Mélantois,départementale,vers_lille,20.4,20.4,0.0,14.7
2026-09-08T04:00:27Z,point,Bouvines,Mélantois,départementale,vers_lille,18.8,18.7,0.1,13.9
2026-09-08T04:00:27Z,point,Pérenchies,rocade NO / M652,départementale,vers_lille,21.7,21.5,0.2,20.9
2026-09-08T04:00:27Z,point,Prémesques,rocade NO / M652,départementale,vers_lille,20.9,20.6,0.2,18.3
2026-09-08T04:00:27Z,point,Neuville-en-Ferrain,Ferrain,départementale,vers_lille,16.7,16.5,0.2,18.2
2026-09-08T04:00:27Z,point,Sailly-sur-la-Lys,Lys,départementale,vers_lille,29.3,29.3,-0.0,30.7
2026-09-08T04:30:30Z,point,Douai,Douaisis,autoroute A1,vers_lille,39.2,31.1,8.1,42.2
2026-09-08T04:30:30Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,39.5,31.1,8.4,41.4
2026-09-08T04:30:30Z,point,Arras,Artois,autoroute A1,vers_lille,50.8,39.7,11.1,55.1
2026-09-08T04:30:30Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,50.6,43.0,7.6,44.0
2026-09-08T04:30:30Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,66.7,53.0,13.7,81.0
2026-09-08T04:30:30Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,43.4,36.0,7.4,48.3
2026-09-08T04:30:30Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,29.2,26.3,2.9,28.1
2026-09-08T04:30:30Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,39.5,34.5,5.0,51.3
2026-09-08T04:30:30Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,20.5,19.6,0.9,13.9
2026-09-08T04:30:30Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,23.2,20.5,2.7,26.7
2026-09-08T04:30:30Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,64.9,56.1,8.8,87.2
2026-09-08T04:30:30Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,62.0,53.3,8.7,84.0
2026-09-08T04:30:30Z,point,Wavrin,Weppes,départementale,vers_lille,21.3,20.0,1.3,19.3
2026-09-08T04:30:30Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,26.7,25.0,1.7,22.6
2026-09-08T04:30:30Z,point,Herlies,Weppes,départementale,vers_lille,23.4,22.1,1.3,23.2
2026-09-08T04:30:30Z,point,Fromelles,Weppes,départementale,vers_lille,26.5,23.8,2.7,22.1
2026-09-08T04:30:30Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,22.5,20.9,1.6,17.8
2026-09-08T04:30:30Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,26.0,22.9,3.0,23.0
2026-09-08T04:30:30Z,point,Cysoing,Pévèle,départementale,vers_lille,23.5,22.2,1.3,16.1
2026-09-08T04:30:30Z,point,Bourghelles,Pévèle,départementale,vers_lille,24.3,24.0,0.3,23.3
2026-09-08T04:30:30Z,point,Péronne-en-Mélantois,Mélantois,départementale,vers_lille,21.1,20.4,0.7,14.7
2026-09-08T04:30:30Z,point,Bouvines,Mélantois,départementale,vers_lille,19.5,18.7,0.8,13.9
2026-09-08T04:30:30Z,point,Pérenchies,rocade NO / M652,départementale,vers_lille,22.9,21.5,1.4,20.9
2026-09-08T04:30:30Z,point,Prémesques,rocade NO / M652,départementale,vers_lille,22.3,20.6,1.7,18.3
2026-09-08T04:30:30Z,point,Neuville-en-Ferrain,Ferrain,départementale,vers_lille,16.9,16.5,0.4,18.2
2026-09-08T04:30:30Z,point,Sailly-sur-la-Lys,Lys,départementale,vers_lille,34.3,29.3,5.0,30.7
2026-09-08T04:50:26Z,point,Douai,Douaisis,autoroute A1,vers_lille,46.5,31.1,15.4,42.2
2026-09-08T04:50:26Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,47.5,31.1,16.4,41.4
2026-09-08T04:50:26Z,point,Arras,Artois,autoroute A1,vers_lille,57.2,39.7,17.5,55.1
2026-09-08T04:50:26Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,63.9,43.0,20.9,44.0
2026-09-08T04:50:26Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,72.9,53.0,20.0,81.0
2026-09-08T04:50:26Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,50.0,36.0,14.0,48.3
2026-09-08T04:50:26Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,36.5,26.3,10.2,28.1
2026-09-08T04:50:26Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,43.0,34.5,8.4,51.3
2026-09-08T04:50:26Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,20.9,19.6,1.4,19.1
2026-09-08T04:50:26Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,27.4,20.5,6.9,26.7
2026-09-08T04:50:26Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,69.8,64.8,5.1,96.6
