poll_utc,categorie,libelle,zone_axe,type,sens,temps_live_min,temps_libre_min,retard_min,distance_km
2026-08-29T04:00:25Z,point,Douai,Douaisis,autoroute A1,vers_lille,31.6,31.1,0.4,42.2
2026-08-29T04:00:25Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,31.4,31.1,0.3,41.4
2026-08-29T04:00:25Z,point,Arras,Artois,autoroute A1,vers_lille,39.6,39.0,0.6,54.1
2026-08-29T04:00:25Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,42.4,42.6,-0.3,42.2
2026-08-29T04:00:25Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,52.2,52.0,0.2,80.5
2026-08-29T04:00:25Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,34.1,34.3,-0.2,46.8
2026-08-29T04:00:25Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,26.6,26.3,0.2,28.1
2026-08-29T04:00:25Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,34.8,34.5,0.2,51.3
2026-08-29T04:00:25Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,19.6,19.6,-0.0,13.9
2026-08-29T04:00:25Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,20.7,20.2,0.6,25.7
2026-08-29T04:00:25Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,56.5,56.0,0.5,87.1
2026-08-29T04:00:25Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,52.3,51.2,1.1,75.1
2026-08-29T04:00:25Z,point,Wavrin,Weppes,départementale,vers_lille,19.9,20.0,-0.1,19.3
2026-08-29T04:00:25Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,24.9,25.0,-0.1,22.6
2026-08-29T04:00:25Z,point,Herlies,Weppes,départementale,vers_lille,22.1,22.1,-0.1,23.2
2026-08-29T04:00:25Z,point,Fromelles,Weppes,départementale,vers_lille,23.6,23.8,-0.2,22.1
2026-08-29T04:00:25Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,20.8,20.9,-0.2,17.8
2026-08-29T04:00:25Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,22.8,22.9,-0.2,23.0
2026-08-29T04:00:25Z,point,Cysoing,Pévèle,départementale,vers_lille,22.1,22.2,-0.1,16.1
2026-08-29T04:00:25Z,point,Bourghelles,Pévèle,départementale,vers_lille,23.9,24.0,-0.1,23.3
2026-08-29T04:00:25Z,point,Péronne-en-Mélantois,Mélantois,départementale,vers_lille,20.3,20.4,-0.0,14.7
2026-08-29T04:00:25Z,point,Bouvines,Mélantois,départementale,vers_lille,18.7,18.7,-0.0,13.9
2026-08-29T04:00:25Z,point,Pérenchies,rocade NO / M652,départementale,vers_lille,20.8,20.8,-0.1,12.5
2026-08-29T04:00:25Z,point,Prémesques,rocade NO / M652,départementale,vers_lille,20.6,20.6,-0.1,18.3
2026-08-29T04:00:25Z,point,Neuville-en-Ferrain,Ferrain,départementale,vers_lille,16.8,16.5,0.3,18.2
2026-08-29T04:00:25Z,point,Sailly-sur-la-Lys,Lys,départementale,vers_lille,29.2,29.3,-0.1,30.7
2026-08-29T04:30:26Z,point,Douai,Douaisis,autoroute A1,vers_lille,31.9,31.1,0.8,42.2
2026-08-29T04:30:26Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,31.3,31.1,0.2,41.4
