poll_utc,categorie,libelle,zone_axe,type,sens,temps_live_min,temps_libre_min,retard_min,distance_km
2026-09-05T04:00:33Z,point,Douai,Douaisis,autoroute A1,vers_lille,31.6,31.1,0.4,42.2
2026-09-05T04:00:33Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,31.6,31.1,0.5,41.4
2026-09-05T04:00:33Z,point,Arras,Artois,autoroute A1,vers_lille,39.3,39.0,0.3,54.1
2026-09-05T04:00:33Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,43.0,42.6,0.4,42.2
2026-09-05T04:00:33Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,54.5,53.8,0.8,80.8
2026-09-05T04:00:33Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,35.0,34.3,0.7,46.8
2026-09-05T04:00:33Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,27.1,26.3,0.8,28.1
2026-09-05T04:00:33Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,35.1,34.5,0.5,51.3
2026-09-05T04:00:33Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,20.1,19.6,0.5,13.9
2026-09-05T04:00:33Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,20.6,20.2,0.4,25.7
2026-09-05T04:00:33Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,57.0,56.1,0.9,87.2
2026-09-05T04:00:33Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,52.9,51.2,1.6,75.1
2026-09-05T04:00:33Z,point,Wavrin,Weppes,départementale,vers_lille,20.3,20.0,0.3,19.3
2026-09-05T04:00:33Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,25.4,25.0,0.4,22.6
2026-09-05T04:00:33Z,point,Herlies,Weppes,départementale,vers_lille,22.5,22.1,0.3,23.2
2026-09-05T04:00:33Z,point,Fromelles,Weppes,départementale,vers_lille,24.2,23.8,0.4,22.1
2026-09-05T04:00:33Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,21.4,20.9,0.4,17.8
2026-09-05T04:00:33Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,23.3,22.9,0.4,23.0
2026-09-05T04:00:33Z,point,Cysoing,Pévèle,départementale,vers_lille,22.7,22.2,0.5,16.1
2026-09-05T04:00:33Z,point,Bourghelles,Pévèle,départementale,vers_lille,24.4,24.0,0.4,23.3
2026-09-05T04:00:33Z,point,Péronne-en-Mélantois,Mélantois,départementale,vers_lille,20.8,20.4,0.5,14.7
2026-09-05T04:00:33Z,point,Bouvines,Mélantois,départementale,vers_lille,19.1,18.7,0.4,13.9
2026-09-05T04:00:33Z,point,Pérenchies,rocade NO / M652,départementale,vers_lille,21.6,21.1,0.5,20.7
2026-09-05T04:00:33Z,point,Prémesques,rocade NO / M652,départementale,vers_lille,20.9,20.6,0.3,18.3
2026-09-05T04:00:33Z,point,Neuville-en-Ferrain,Ferrain,départementale,vers_lille,17.4,16.5,0.9,18.2
2026-09-05T04:00:33Z,point,Sailly-sur-la-Lys,Lys,départementale,vers_lille,29.5,29.3,0.2,30.7
2026-09-05T04:30:32Z,point,Douai,Douaisis,autoroute A1,vers_lille,31.9,31.1,0.8,42.1
2026-09-05T04:30:32Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,31.6,31.1,0.5,41.3
2026-09-05T04:30:32Z,point,Arras,Artois,autoroute A1,vers_lille,39.9,39.0,0.9,54.1
2026-09-05T04:30:32Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,43.2,42.6,0.6,42.2
2026-09-05T04:30:32Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,54.7,53.8,1.0,80.8
2026-09-05T04:30:32Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,34.8,34.3,0.5,46.8
2026-09-05T04:30:32Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,26.9,26.3,0.6,28.1
2026-09-05T04:30:32Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,35.1,34.5,0.5,51.3
2026-09-05T04:30:32Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,19.6,19.1,0.6,15.0
2026-09-05T04:30:32Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,21.0,20.5,0.5,26.6
2026-09-05T04:30:32Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,57.2,56.1,1.1,87.2
2026-09-05T04:30:32Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,53.2,51.2,2.0,75.1
2026-09-05T04:30:32Z,point,Wavrin,Weppes,départementale,vers_lille,20.4,20.0,0.4,19.3
2026-09-05T04:30:32Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,25.5,25.0,0.5,22.6
2026-09-05T04:30:32Z,point,Herlies,Weppes,départementale,vers_lille,22.4,22.1,0.2,23.2
2026-09-05T04:30:32Z,point,Fromelles,Weppes,départementale,vers_lille,24.4,23.8,0.6,22.1
2026-09-05T04:30:32Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,21.5,21.0,0.5,17.7
2026-09-05T04:30:32Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,23.4,22.9,0.5,23.0
2026-09-05T04:30:32Z,point,Cysoing,Pévèle,départementale,vers_lille,22.9,22.2,0.7,16.0
