poll_utc,categorie,libelle,zone_axe,type,sens,temps_live_min,temps_libre_min,retard_min,distance_km
2026-09-03T04:00:38Z,point,Douai,Douaisis,autoroute A1,vers_lille,32.3,31.1,1.2,42.2
2026-09-03T04:00:38Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,32.3,31.1,1.2,41.4
2026-09-03T04:00:38Z,point,Arras,Artois,autoroute A1,vers_lille,41.4,39.7,1.7,55.1
2026-09-03T04:00:38Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,44.6,42.6,2.0,42.2
2026-09-03T04:00:38Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,53.1,52.5,0.6,80.6
2026-09-03T04:00:38Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,34.2,34.3,-0.1,46.8
2026-09-03T04:00:38Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,27.1,26.3,0.8,28.1
2026-09-03T04:00:38Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,34.6,34.5,0.1,51.3
2026-09-03T04:00:38Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,19.3,19.1,0.2,15.0
2026-09-03T04:00:38Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,20.4,20.2,0.2,25.7
2026-09-03T04:00:38Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,57.3,56.1,1.2,87.2
2026-09-03T04:00:38Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,54.0,53.3,0.7,84.0
2026-09-03T04:00:38Z,point,Wavrin,Weppes,départementale,vers_lille,20.1,20.0,0.0,19.3
2026-09-03T04:00:38Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,24.9,25.0,-0.1,22.6
2026-09-03T04:00:38Z,point,Herlies,Weppes,départementale,vers_lille,22.2,22.1,0.0,23.2
2026-09-03T04:00:38Z,point,Fromelles,Weppes,départementale,vers_lille,24.0,23.8,0.2,22.1
2026-09-03T04:00:38Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,21.2,20.9,0.2,17.8
2026-09-03T04:00:38Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,23.3,22.9,0.4,23.0
2026-09-03T04:00:38Z,point,Cysoing,Pévèle,départementale,vers_lille,22.2,22.2,0.0,16.1
2026-09-03T04:00:38Z,point,Bourghelles,Pévèle,départementale,vers_lille,23.9,24.0,-0.1,23.3
2026-09-03T04:00:38Z,point,Péronne-en-Mélantois,Mélantois,départementale,vers_lille,20.3,20.4,-0.0,14.7
2026-09-03T04:00:38Z,point,Bouvines,Mélantois,départementale,vers_lille,18.7,18.7,0.0,13.9
2026-09-03T04:00:38Z,point,Pérenchies,rocade NO / M652,départementale,vers_lille,21.6,21.5,0.1,20.9
2026-09-03T04:00:38Z,point,Prémesques,rocade NO / M652,départementale,vers_lille,20.7,20.6,0.1,18.3
2026-09-03T04:00:38Z,point,Neuville-en-Ferrain,Ferrain,départementale,vers_lille,16.6,16.5,0.1,18.2
2026-09-03T04:00:38Z,point,Sailly-sur-la-Lys,Lys,départementale,vers_lille,29.2,29.3,-0.1,30.7
2026-09-03T04:30:36Z,point,Douai,Douaisis,autoroute A1,vers_lille,38.8,31.1,7.7,42.2
2026-09-03T04:30:36Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,37.6,32.8,4.8,39.9
2026-09-03T04:30:36Z,point,Arras,Artois,autoroute A1,vers_lille,51.6,39.7,11.9,55.1
2026-09-03T04:30:36Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,48.3,43.0,5.3,44.0
2026-09-03T04:30:36Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,66.7,52.5,14.2,80.6
2026-09-03T04:30:36Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,40.3,34.3,6.0,46.8
2026-09-03T04:30:36Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,28.2,26.3,1.9,28.1
2026-09-03T04:30:36Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,37.9,34.5,3.3,51.3
2026-09-03T04:30:36Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,20.6,19.6,1.0,13.9
2026-09-03T04:30:36Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,22.8,20.2,2.6,25.7
2026-09-03T04:30:36Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,62.0,56.1,5.9,87.2
2026-09-03T04:30:36Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,59.0,53.3,5.7,84.0
2026-09-03T04:30:36Z,point,Wavrin,Weppes,départementale,vers_lille,20.9,20.0,0.9,19.3
2026-09-03T04:30:36Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,25.6,25.0,0.7,22.6
2026-09-03T04:30:36Z,point,Herlies,Weppes,départementale,vers_lille,22.7,22.1,0.6,23.2
2026-09-03T04:30:36Z,point,Fromelles,Weppes,départementale,vers_lille,25.6,23.8,1.8,22.1
2026-09-03T04:30:36Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,23.1,20.9,2.1,17.8
2026-09-03T04:30:36Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,25.8,22.7,3.1,30.6
2026-09-03T04:30:36Z,point,Cysoing,Pévèle,départementale,vers_lille,23.6,22.2,1.4,16.1
2026-09-03T04:30:36Z,point,Bourghelles,Pévèle,départementale,vers_lille,24.6,24.0,0.6,23.3
2026-09-03T04:30:36Z,point,Péronne-en-Mélantois,Mélantois,départementale,vers_lille,21.4,20.4,1.0,14.7
2026-09-03T04:30:36Z,point,Bouvines,Mélantois,départementale,vers_lille,19.8,18.7,1.1,13.9
2026-09-03T04:30:36Z,point,Pérenchies,rocade NO / M652,départementale,vers_lille,22.3,21.5,0.8,20.9
2026-09-03T04:30:36Z,point,Prémesques,rocade NO / M652,départementale,vers_lille,21.6,20.6,0.9,18.3
2026-09-03T04:30:36Z,point,Neuville-en-Ferrain,Ferrain,départementale,vers_lille,17.7,16.5,1.2,18.2
2026-09-03T04:30:36Z,point,Sailly-sur-la-Lys,Lys,départementale,vers_lille,32.9,29.3,3.6,30.7
2026-09-03T04:50:32Z,point,Douai,Douaisis,autoroute A1,vers_lille,44.2,31.1,13.1,42.2
2026-09-03T04:50:32Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,45.0,31.1,13.9,41.4
