uic,gare,trains_directs_jour,trains_pointe_matin,trains_arr_lille_matin,trains_pointe_soir,tps_trajet_median_min,tps_trajet_min_min,premier_train,dernier_train,amplitude_h,gares_lille_desservies,lignes,retour_trains_directs_jour,retour_pointe_soir,retour_dernier_depart_lille,autocars_directs_jour,vitesse_gc_rapide_kmh,remarque,stop_lat,stop_lon
87313403,Rémy,0,0,0,0,,,,,,,,0,0,,0,,,49.433353,2.705802
87313387,Estrées-Saint-Denis,0,0,0,0,,,,,,,,0,0,,0,,,49.438169,2.642137
87313379,Namps - Quevauvillers,0,0,0,0,,,,,,,,0,0,,0,,,49.808304,2.105212
87313353,Tricot,0,0,0,0,,,,,,,,0,0,,0,,,49.561971,2.581782
87313346,Montdidier,0,0,0,0,,,,,,,,0,0,,0,,,49.64147,2.56295
87313338,Hargicourt - Pierrepont,0,0,0,0,,,,,,,,0,0,,0,,,49.71431,2.531238
87313320,Moreuil,0,0,0,0,,,,,,,,0,0,,0,,,49.776931,2.475896
87313304,Clermont de l'Oise,0,0,0,0,,,,,,,,0,0,,0,,,49.385278,2.417663
87313296,Avrechy,0,0,0,0,,,,,,,,0,0,,0,,,49.444637,2.418194
87313288,Saint-Remy-en-l'Eau,0,0,0,0,,,,,,,,0,0,,0,,,49.468447,2.425975
87313270,Saint-Just-en-Chaussée,0,0,0,0,,,,,,,,0,0,,0,,,49.50364,2.42949
87313262,Gannes,0,0,0,0,,,,,,,,0,0,,0,,,49.572092,2.437055
87313247,Breteuil-Embranchement,0,0,0,0,,,,,,,,0,0,,0,,,49.626499,2.384714
87313692,Herchies,0,0,0,0,,,,,,,,0,0,,0,,,49.488061,2.010646
87313684,Saint-Sulpice - Auteuil,0,0,0,0,,,,,,,,0,0,,0,,,49.347397,2.116453
87313676,Laboissière - Le Déluge,0,0,0,0,,,,,,,,0,0,,0,,,49.28867,2.136197
87313668,Méru,0,0,0,0,,,,,,,,0,0,,0,,,49.232385,2.132415
87313601,Rochy-Condé,0,0,0,0,,,,,,,,0,0,,0,,,49.39866,2.173021
87313593,Villers-Saint-Sépulcre,0,0,0,0,,,,,,,,0,0,,0,,,49.367986,2.220386
87313585,Hermes - Berthecourt,0,0,0,0,,,,,,,,0,0,,0,,,49.354439,2.2419
87313577,Mouy - Bury,0,0,0,0,,,,,,,,0,0,,0,,,49.320442,2.326374
87313569,Balagny Saint-Épin,0,0,0,0,,,,,,,,0,0,,0,,,49.294332,2.343907
87313551,Cires-lès-Mello,0,0,0,0,,,,,,,,0,0,,0,,,49.271683,2.360435
87313544,Cramoisy,0,0,0,0,,,,,,,,0,0,,0,,,49.256472,2.404874
87313510,Beauvais,0,0,0,0,,,,,,,,0,0,,0,,,49.426522,2.088609
87313494,Ham,0,0,0,0,,,,,,,,0,0,,0,,,49.739855,3.070268
87313486,Nesle,0,0,0,0,,,,,,,,0,0,,0,,,49.763782,2.909084
87313478,Chaulnes,0,0,0,0,,,,,,,,0,0,,0,,,49.807679,2.801103
87313460,Rosières,0,0,0,0,,,,,,,,0,0,,0,,,49.822584,2.711198
87316075,Dreuil-lès-Amiens,0,0,0,0,,,,,,,,0,0,,0,,,49.91449,2.231126
87316067,Buire-sur-l'Ancre,0,0,0,0,,,,,,,,0,0,,0,,,49.964797,2.598159
87316059,Heilly,0,0,0,0,,,,,,,,0,0,,0,,,49.943356,2.539521
87315044,Daours,0,0,0,0,,,,,,,,0,0,,0,,,49.899168,2.458674
87313841,Fouilloy,0,0,0,0,,,,,,,,0,0,,0,,,49.736315,1.825774
87313833,Formerie,0,0,0,0,,,,,,,,0,0,,0,,,49.654606,1.723582
87313817,Longroy - Gamaches,0,0,0,0,,,,,,,,0,0,,0,,,49.982444,1.551899
87313809,Blangy-sur-Bresle,0,0,0,0,,,,,,,,0,0,,0,,,49.932363,1.625558
87313767,Aumale,0,0,0,0,,,,,,,,0,0,,0,,,49.765115,1.756069
87171512,Dormans,0,0,0,0,,,,,,,,0,0,,0,,,49.07908,3.641835
87313742,Feuquières - Broquiers,0,0,0,0,,,,,,,,0,0,,0,,,49.654339,1.830884
87313734,Grandvilliers,0,0,0,0,,,,,,,,0,0,,0,,,49.659393,1.93854
87313726,Marseille-en-Beauvaisis,0,0,0,0,,,,,,,,0,0,,0,,,49.571031,1.954751
87313718,Saint-Omer-en-Chaussée,0,0,0,0,,,,,,,,0,0,,0,,,49.531044,1.997725
87313700,Milly-sur-Thérain,0,0,0,0,,,,,,,,0,0,,0,,,49.503848,1.988745
87317123,Wimille - Wimereux,0,0,0,0,,,,,,,,0,0,,0,,,50.763642,1.613609
87317115,Pont de Briques,0,0,0,0,,,,,,,,0,0,,0,,,50.682422,1.627173
87317107,Hesdigneul,0,0,0,0,,,,,,,,0,0,,0,,,50.661076,1.667119
87317099,Neufchâtel-Hardelot,0,0,0,0,,,,,,,,0,0,,0,,,50.623564,1.643352
87317081,Dannes - Camiers,0,0,0,0,,,,,,,,0,0,,0,,,50.575889,1.614497
87113001,Paris Est,0,0,0,0,,,,,,,,0,0,,0,,,48.876742,2.358424
87116517,La Ferté-sous-Jouarre,0,0,0,0,,,,,,,,0,0,,0,,,48.95078,3.125466
87317016,Boulogne - Tintelleries,0,0,0,0,,,,,,,,0,0,,0,,,50.727284,1.609036
87316687,Le Haut Banc,0,0,0,0,,,,,,,,0,0,,0,,,50.816461,1.772433
87316679,Pihen,0,0,0,0,,,,,,,,0,0,,0,,,50.87275,1.784602
87316604,Aubin-Saint-Vaast,0,0,0,0,,,,,,,,0,0,,0,,,50.394755,1.970029
87316406,Montreuil-sur-Thérain,0,0,0,0,,,,,,,,0,0,,0,,,49.381222,2.200975
87316398,Heilles - Mouchy,0,0,0,0,,,,,,,,0,0,,0,,,49.340507,2.272494
87316208,Wacquemoulin,0,0,0,0,,,,,,,,0,0,,0,,,49.502918,2.611911
87316125,Thézy-Glimont,0,0,0,0,,,,,,,,0,0,,0,,,49.811866,2.435741
87316109,Dommartin - Remiencourt,0,0,0,0,,,,,,,,0,0,,0,,,49.799335,2.39238
87317529,Le Tréport - Mers-les-Bains,0,0,0,0,,,,,,,,0,0,,0,,,50.062716,1.376078
87317404,Rue,0,0,0,0,,,,,,,,0,0,,0,,,50.273147,1.675697
87317396,Noyelles-sur-Mer,0,0,0,0,,,,,,,,0,0,,0,,,50.187305,1.70453
87317362,Abbeville,0,0,0,0,,,,,,,,0,0,,0,,,50.102175,1.824538
87317339,Marquise - Rinxent,0,0,0,0,,,,,,,,0,0,,0,,,50.805686,1.729786
87317321,Caffiers,0,0,0,0,,,,,,,,0,0,,0,,,50.8498,1.812401
87317305,Les Fontinettes,0,0,0,0,,,,,,,,0,0,,0,,,50.941002,1.849858
87116582,Château-Thierry,0,0,0,0,,,,,,,,0,0,,0,,,49.03814,3.409302
87317255,Anvin,0,0,0,0,,,,,,,,0,0,,0,,,50.446779,2.255089
87317248,Blangy-sur-Ternoise,0,0,0,0,,,,,,,,0,0,,0,,,50.424662,2.1723
87317230,Auchy-lès-Hesdin,0,0,0,0,,,,,,,,0,0,,0,,,50.396249,2.102353
87317222,Hesdin,0,0,0,0,,,,,,,,0,0,,0,,,50.378181,2.0353
87317206,Maresquel,0,0,0,0,,,,,,,,0,0,,0,,,50.408063,1.930917
87317198,Beaurainville,0,0,0,0,,,,,,,,0,0,,0,,,50.422895,1.895193
87317180,Brimeux,0,0,0,0,,,,,,,,0,0,,0,,,50.446741,1.833896
87317164,Montreuil sur Mer,0,0,0,0,,,,,,,,0,0,,0,,,50.4662,1.768893
87342139,Noeux-Les-Mines,0,0,0,0,,,,,,,,0,0,,0,,,50.48296,2.673969
87342121,Mazingarbe,0,0,0,0,,,,,,,,0,0,,0,,,50.460479,2.701408
87342113,Vitry-en-Artois,0,0,0,0,,,,,,,,0,0,,0,,,50.327121,2.9805
87342105,Bully - Grenay,0,0,0,0,,,,,,,,0,0,,0,,,50.448357,2.733391
87342097,Biache-Saint-Vaast,0,0,0,0,,,,,,,,0,0,,0,,,50.316257,2.941718
87342089,Roeux,0,0,0,0,,,,,,,,0,0,,0,,,50.30342,2.894364
87342071,Boisleux,0,0,0,0,,,,,,,,0,0,,0,,,50.21046,2.771961
87342063,Courcelles-le-Comte,0,0,0,0,,,,,,,,0,0,,0,,,50.169632,2.787939
87141002,Nancy,0,0,0,0,,,,,,,,0,0,,0,,,48.689857,6.174579
87342030,Miraumont,0,0,0,0,,,,,,,,0,0,,0,,,50.095928,2.734593
87324335,Hirson Écoles,0,0,0,0,,,,,,,,0,0,,0,,,49.928848,4.086152
87317610,Beau Marais,0,0,0,0,,,,,,,,0,0,,0,,,50.945387,1.898108
87141044,Toul,0,0,0,0,,,,,,,,0,0,,0,,,48.679011,5.880499
87317537,Eu,0,0,0,0,,,,,,,,0,0,,0,,,50.054139,1.417087
87141150,Lunéville,0,0,0,0,,,,,,,,0,0,,0,,,48.58799,6.496997
87342303,Tincques,0,0,0,0,,,,,,,,0,0,,0,,,50.357153,2.49804
87342295,Steenbecque,0,0,0,0,,,,,,,,0,0,,0,,,50.681445,2.510593
87342287,Thiennes,0,0,0,0,,,,,,,,0,0,,0,,,50.652356,2.472922
87342279,Berguette - Isbergues,0,0,0,0,,,,,,,,0,0,,0,,,50.61379,2.462786
87342261,Ham-en-Artois,0,0,0,0,,,,,,,,0,0,,0,,,50.590055,2.46576
87342253,Savy-Berlette,0,0,0,0,,,,,,,,0,0,,0,,,50.353862,2.558068
87342246,Aubigny-en-Artois,0,0,0,0,,,,,,,,0,0,,0,,,50.3529,2.592519
87342238,Lillers,0,0,0,0,,,,,,,,0,0,,0,,,50.561711,2.478906
87342220,Chocques,0,0,0,0,,,,,,,,0,0,,0,,,50.53833,2.564841
87342212,Frévin-Capelle,0,0,0,0,,,,,,,,0,0,,0,,,50.347208,2.63317
87342204,Fouquereuil,0,0,0,0,,,,,,,,0,0,,0,,,50.525383,2.608261
87342188,Maroeuil,0,0,0,0,,,,,,,,0,0,,0,,,50.322431,2.698498
87343400,Trith-Saint-Léger,0,0,0,0,,,,,,,,0,0,,0,,,50.331565,3.489508
87343319,Raismes,0,0,0,0,,,,,,,,0,0,,0,,,50.39029,3.478839
87343301,Wallers,0,0,0,0,,,,,,,,0,0,,0,,,50.3845,3.393922
87343160,Beuvrages,0,0,0,0,,,,,,,,0,0,,0,,,50.38944,3.506007
87342592,Bailleul-Sir-Berthoult,0,0,0,0,,,,,,,,0,0,,0,,,50.335379,2.841149
87271551,Le Plessis-Belleville,0,0,0,0,,,,,,,,0,0,,0,,,49.095912,2.744855
87271536,Dammartin - Juilly - Saint-Mard,0,0,0,0,,,,,,,,0,0,,0,,,49.03219,2.69887
87271007,Paris Gare du Nord,0,0,0,0,,,,,,,,0,0,,0,,,48.880136,2.354851
87215012,Sarrebourg,0,0,0,0,,,,,,,,0,0,,0,,,48.73808,7.05285
87212225,Saverne,0,0,0,0,,,,,,,,0,0,,0,,,48.744483,7.362055
87212027,Strasbourg,0,0,0,0,,,,,,,,0,0,,0,,,48.58511,7.733882
87175257,Commercy,0,0,0,0,,,,,,,,0,0,,0,,,48.765749,5.58861
87175042,Bar-le-Duc,0,0,0,0,,,,,,,,0,0,,0,,,48.773598,5.167053
87276469,Persan - Beaumont,0,0,0,0,,,,,,,,0,0,,0,,,49.14795,2.27914
87276378,Villers-Saint-Paul,0,0,0,0,,,,,,,,0,0,,0,,,49.282396,2.489455
87276352,Rieux - Angicourt,0,0,0,0,,,,,,,,0,0,,0,,,49.298581,2.521185
87276329,Pont-Sainte-Maxence,0,0,0,0,,,,,,,,0,0,,0,,,49.309736,2.602893
87276311,Chevrières,0,0,0,0,,,,,,,,0,0,,0,,,49.337314,2.682515
87276303,Longueil-Sainte-Marie,0,0,0,0,,,,,,,,0,0,,0,,,49.342407,2.717636
87276279,Orry-la-Ville - Coye,0,0,0,0,,,,,,,,0,0,,0,,,49.13893,2.489997
87276212,Liancourt - Rantigny,0,0,0,0,,,,,,,,0,0,,0,,,49.324818,2.445255
87342584,Avion,0,0,0,0,,,,,,,,0,0,,0,,,50.40721,2.83363
87342576,Vimy,0,0,0,0,,,,,,,,0,0,,0,,,50.374013,2.82192
87271734,Villers-Cotterêts,0,0,0,0,,,,,,,,0,0,,0,,,49.250228,3.093604
87271593,Crépy-en-Valois,0,0,0,0,,,,,,,,0,0,,0,,,49.231252,2.886494
87271577,Nanteuil-le-Haudouin,0,0,0,0,,,,,,,,0,0,,0,,,49.142673,2.794502
87342527,Farbus,0,0,0,0,,,,,,,,0,0,,0,,,50.357477,2.830747
87171272,Reims Maison Blanche,0,0,0,0,,,,,,,,0,0,,0,,,49.233406,4.022648
87345124,Pont de Sallaumines,0,0,0,0,,,,,,,,0,0,,0,,,50.415772,2.863086
87345116,Corbehem,0,0,0,0,,,,,,,,0,0,,0,,,50.342992,3.040005
87345108,Brebières Sud,0,0,0,0,,,,,,,,0,0,,0,,,50.336155,3.013977
87345041,Liévin,0,0,0,0,,,,,,,,0,0,,0,,,50.434247,2.771851
87345033,Loos-en-Gohelle,0,0,0,0,,,,,,,,0,0,,0,,,50.437854,2.793526
87343475,Lourches,0,0,0,0,,,,,,,,0,0,,0,,,50.310238,3.343186
87343459,Denain,0,0,0,0,,,,,,,,0,0,,0,,,50.33445,3.388679
87343418,Prouvy - Thiant,0,0,0,0,,,,,,,,0,0,,0,,,50.316488,3.46127
87345447,Aubigny-au-Bac,0,0,0,0,,,,,,,,0,0,,0,,,50.268551,3.158781
87345439,Brunémont,0,0,0,0,,,,,,,,0,0,,0,,,50.278221,3.146038
87171009,Reims,0,0,0,0,,,,,,,,0,0,,0,,,49.259602,4.02392
87754549,Mon Idée,0,0,0,0,,,,,,,,0,0,,0,,,49.872526,4.37965
87417444,Franchet d'Esperey,0,0,0,0,,,,,,,,0,0,,0,,,49.242536,4.013869
88720090,Charleroi-Central,0,0,0,0,,,,,,,,0,0,,0,,,50.404393,4.438504
87411462,Sommery,0,0,0,0,,,,,,,,0,0,,0,,,49.629664,1.435304
88718528,MARCHIENNE-ZONE,0,0,0,0,,,,,,,,0,0,,0,,,50.397166,4.389017
88718379,LANDELIES,0,0,0,0,,,,,,,,0,0,,0,,,50.377314,4.350981
88718296,HOURPES,0,0,0,0,,,,,,,,0,0,,0,,,50.3637,4.3087
88718114,THUIN,0,0,0,0,,,,,,,,0,0,,0,,,50.342739,4.288914
88717124,LOBBES,0,0,0,0,,,,,,,,0,0,,0,,,50.346384,4.260988
88716886,FONTAINE-VALMONT,0,0,0,0,,,,,,,,0,0,,0,,,50.320439,4.211775
88716704,LABUISSIERE,0,0,0,0,,,,,,,,0,0,,0,,,50.316139,4.186581
88716621,SOLRE-SUR-SAMBRE,0,0,0,0,,,,,,,,0,0,,0,,,50.312639,4.158431
88716472,ERQUELINNES-VILLAGE,0,0,0,0,,,,,,,,0,0,,0,,,50.309539,4.130281
88716050,ERQUELINNES,0,0,0,0,,,,,,,,0,0,,0,,,50.304,4.113
87271601,Vaumoise,0,0,0,0,,,,,,,,0,0,,0,,,49.233921,2.988748
87765404,Voyenne Ecole,0,0,0,0,,,,,,,,0,0,,0,,,49.723842,3.730776
87345413,Cantin,0,0,0,0,,,,,,,,0,0,,0,,,50.312554,3.122145
87345405,Sin-le-Noble,0,0,0,0,,,,,,,,0,0,,0,,,50.356683,3.112559
87345397,Iwuy,0,0,0,0,,,,,,,,0,0,,0,,,50.225853,3.329875
87345389,Bouchain,0,0,0,0,,,,,,,,0,0,,0,,,50.278151,3.33173
87171728,Loivre,0,0,0,0,,,,,,,,0,0,,0,,,49.346676,3.990625
87345595,Wambaix,0,0,0,0,,,,,,,,0,0,,0,,,50.133856,3.311485
87345587,Cattenières,0,0,0,0,,,,,,,,0,0,,0,,,50.128347,3.333718
87345553,Bertry,0,0,0,0,,,,,,,,0,0,,0,,,50.091134,3.448857
87345546,Maurois,0,0,0,0,,,,,,,,0,0,,0,,,50.068059,3.455903
87345496,Escaudoeuvres,0,0,0,0,,,,,,,,0,0,,0,,,50.191744,3.275473
87271874,Crouy,0,0,0,0,,,,,,,,0,0,,0,,,49.40365,3.356999
87271817,Soissons,0,0,0,0,,,,,,,,0,0,,0,,,49.369226,3.33809
87271783,Vierzy,0,0,0,0,,,,,,,,0,0,,0,,,49.29103,3.277834
87271775,Longpont,0,0,0,0,,,,,,,,0,0,,0,,,49.272602,3.230265
87765396,Erlon,0,0,0,0,,,,,,,,0,0,,0,,,49.727376,3.714676
