uic,gare,trains_directs_jour,trains_pointe_matin,trains_arr_lille_matin,trains_pointe_soir,tps_trajet_median_min,tps_trajet_min_min,premier_train,dernier_train,amplitude_h,gares_lille_desservies,lignes,retour_trains_directs_jour,retour_pointe_soir,retour_dernier_depart_lille,autocars_directs_jour,vitesse_gc_rapide_kmh,remarque,stop_lat,stop_lon
87286195,Saint-André,20,7,6,6,10.0,9.0,06:27,20:27,14.0,Flandres,C70,19,7,20:23,0,17.0,,50.654307,3.04766
87286203,Strazeele,20,7,6,7,40.0,39.0,05:57,19:57,14.0,Flandres,C70,19,7,20:23,0,49.0,,50.713419,2.630928
87281006,Dunkerque,19,6,5,5,68.0,31.0,05:12,20:12,15.0,Europe+Flandres,"K70, K90+",20,7,20:40,0,128.0,,51.03041,2.368991
88850010,Tournai,18,6,5,4,30.0,26.0,06:22,21:22,15.0,Flandres,P81,16,4,22:08,0,53.0,,50.613,3.396
87286872,Baisieux,18,5,5,5,15.0,13.0,06:35,21:37,15.0,Flandres,P81,16,4,22:08,0,55.0,,50.618307,3.23487
88850685,FROYENNES,18,6,5,4,25.0,21.0,06:27,21:28,15.0,Flandres,P81,16,4,22:08,0,58.0,,50.629,3.355
87286864,Ascq,17,5,5,5,10.0,8.0,06:40,21:42,15.0,Flandres,P81,16,4,22:08,0,49.0,,50.621804,3.159905
87286831,Pont de bois,17,4,4,5,7.0,7.0,06:43,21:45,15.0,Flandres,P81,15,4,22:08,0,38.0,,50.624032,3.130256
87286542,Tourcoing,15,5,5,5,14.0,14.0,06:37,21:37,15.0,Flandres,"K80, P80",14,4,22:09,3,48.0,,50.716826,3.168027
87286732,Roubaix,15,5,5,5,10.0,9.0,06:41,21:41,15.0,Flandres,"K80, P80",14,4,22:09,0,62.0,,50.695557,3.16351
87342014,Arras,14,4,3,4,36.0,35.0,06:31,21:42,15.2,Flandres,"K44, K45",15,4,20:58,0,75.0,,50.286971,2.781314
87313874,Amiens,13,3,3,4,77.0,77.0,05:50,19:50,14.0,Flandres,"K44, K45",14,4,19:53,0,77.0,,49.890584,2.308277
