code_insee,commune,dep,PMUN,dans_MEL,rga_pct_faible,rga_pct_moyen,rga_pct_fort,rga_pct_moyen_fort,rga_alea_dominant
59361,Lourches,59,3814,False,86.5,0.0,0.0,0.0,faible
59367,Lys-lez-Lannoy,59,13793,True,8.9,91.1,0.0,91.1,moyen
59369,Maing,59,4004,False,96.0,0.0,0.0,0.0,faible
59375,Marchiennes,59,4539,False,99.4,0.0,0.0,0.0,faible
59378,Marcq-en-Barœul,59,39356,True,45.3,54.7,0.0,54.7,moyen
59382,Maretz,59,1417,False,92.1,0.0,0.0,0.0,faible
59383,Marly,59,12024,False,99.6,0.0,0.0,0.0,faible
59387,Marquette-en-Ostrevant,59,1931,False,61.2,0.0,28.4,28.4,faible
59386,Marquette-lez-Lille,59,11213,True,70.8,20.1,7.0,27.1,faible
59388,Marquillies,59,1982,True,81.8,14.1,0.0,14.1,faible
59390,Masny,59,4056,False,65.0,0.0,14.1,14.1,faible
59392,Maubeuge,59,29066,False,84.9,0.0,0.7,0.7,faible
59399,Merris,59,1049,False,2.5,94.3,3.1,97.4,moyen
59400,Merville,59,9652,False,16.0,84.0,0.0,84.0,moyen
59408,Moncheaux,59,1703,False,0.0,0.0,4.2,4.2,nul
59409,Monchecourt,59,2501,False,62.3,0.0,36.4,36.4,faible
59410,Mons-en-Barœul,59,21467,True,0.0,73.8,26.2,100.0,moyen
59411,Mons-en-Pévèle,59,2089,False,0.3,0.0,18.7,18.7,nul
59414,Montigny-en-Ostrevent,59,4681,False,81.5,0.0,0.0,0.0,faible
59416,Morbecque,59,2509,False,6.3,84.0,7.8,91.8,moyen
59418,Mortagne-du-Nord,59,1584,False,89.1,0.0,1.4,1.4,faible
59419,Mouchin,59,1441,False,31.0,0.0,30.8,30.8,nul
59421,Mouvaux,59,13173,True,0.1,99.9,0.0,99.9,moyen
59398,Mérignies,59,3360,False,10.4,0.0,41.6,41.6,nul
59401,Méteren,59,2256,False,8.3,73.0,12.8,85.8,moyen
59423,Neuf-Berquin,59,1403,False,3.0,97.0,0.0,97.0,moyen
59426,Neuville-en-Ferrain,59,10160,True,7.2,86.4,4.5,90.9,moyen
59431,Nieppe,59,7606,False,6.8,92.2,0.0,92.2,moyen
59434,Nivelle,59,1379,False,67.0,0.0,0.0,0.0,faible
59435,Nomain,59,2585,False,7.9,0.0,44.9,44.9,nul
59447,Onnaing,59,8719,False,97.3,0.0,0.0,0.0,faible
59449,Orchies,59,8455,False,3.3,0.0,46.1,46.1,nul
59452,Ostricourt,59,5829,False,44.2,2.3,18.2,20.5,faible
59456,Pecquencourt,59,6232,False,95.9,0.0,0.0,0.0,faible
59459,Petite-Forêt,59,5058,False,99.5,0.0,0.0,0.0,faible
59462,Phalempin,59,4849,False,45.6,0.1,25.2,25.3,faible
59466,Pont-à-Marcq,59,2883,False,36.7,0.0,7.5,7.5,nul
59475,Prouvy,59,2173,False,97.2,0.0,0.0,0.0,faible
59477,Provin,59,4469,True,88.7,0.0,0.0,0.0,faible
59470,Prémesques,59,2060,True,0.0,87.2,12.4,99.6,moyen
59471,Préseau,59,2065,False,100.0,0.0,0.0,0.0,faible
59457,Pérenchies,59,8519,True,0.0,92.3,7.7,100.0,moyen
59458,Péronne-en-Mélantois,59,1004,True,97.6,0.0,0.0,0.0,faible
59479,Quarouble,59,3131,False,100.0,0.0,0.0,0.0,faible
59482,Quesnoy-sur-Deûle,59,6920,True,6.1,93.9,0.0,93.9,moyen
59485,Quiévy,59,1801,False,92.8,0.0,0.0,0.0,faible
59487,Radinghem-en-Weppes,59,1393,True,0.0,100.0,0.0,100.0,moyen
59489,Raimbeaucourt,59,4015,False,38.6,0.2,19.8,20.0,nul
59491,Raismes,59,12055,False,64.6,0.0,0.0,0.0,faible
59497,Renescure,59,2128,False,7.4,50.2,39.2,89.4,moyen
59499,Rexpoëde,59,1992,False,3.4,96.6,0.0,96.6,moyen
59501,Rieulay,59,1243,False,88.6,0.0,0.0,0.0,faible
59502,Rieux-en-Cambrésis,59,1438,False,94.7,0.0,0.0,0.0,faible
59507,Ronchin,59,19437,True,92.5,0.0,0.0,0.0,faible
59508,Roncq,59,13784,True,4.0,86.0,9.9,95.9,moyen
59509,Roost-Warendin,59,5976,False,91.9,0.0,0.0,0.0,faible
59511,Rosult,59,1973,False,83.9,0.0,0.0,0.0,faible
59512,Roubaix,59,98892,True,3.1,96.9,0.0,96.9,moyen
59519,Rumegies,59,1740,False,87.6,0.0,0.0,0.0,faible
59486,Râches,59,2660,False,59.0,0.0,3.2,3.2,faible
59504,Rœulx,59,3779,False,99.8,0.0,0.0,0.0,faible
59522,Sailly-lez-Lannoy,59,1949,True,4.5,93.7,0.2,93.9,moyen
59523,Sainghin-en-Mélantois,59,2848,True,98.8,0.0,0.0,0.0,faible
59524,Sainghin-en-Weppes,59,5641,True,51.7,43.3,0.0,43.3,faible
59526,Saint-Amand-les-Eaux,59,15980,False,84.0,0.0,0.0,0.0,faible
59527,Saint-André-lez-Lille,59,12942,True,79.6,16.9,0.0,16.9,faible
59535,Saint-Jans-Cappel,59,1642,False,9.0,61.9,19.8,81.7,moyen
59544,Saint-Saulve,59,11117,False,94.9,0.0,0.0,0.0,faible
59546,Saint-Sylvestre-Cappel,59,1154,False,2.1,62.5,35.4,97.9,moyen
59550,Salomé,59,3051,True,58.3,36.4,0.0,36.4,faible
59551,Saméon,59,1738,False,83.5,0.0,6.2,6.2,faible
59553,Santes,59,5660,True,69.1,14.0,16.9,30.9,faible
59557,Saultain,59,2553,False,100.0,0.0,0.0,0.0,faible
59559,Sebourg,59,1977,False,97.3,0.0,0.0,0.0,faible
59560,Seclin,59,12834,True,42.1,0.0,24.9,24.9,faible
59566,Sequedin,59,4762,True,50.9,20.2,28.9,49.1,faible
59569,Sin-le-Noble,59,15603,False,96.8,0.0,0.0,0.0,faible
59574,Somain,59,11790,False,42.8,0.0,55.9,55.9,fort
59578,Steenbecque,59,1650,False,2.8,91.6,5.5,97.1,moyen
59580,Steenvoorde,59,4324,False,5.0,78.4,14.8,93.2,moyen
59581,Steenwerck,59,3540,False,7.3,92.7,0.0,92.7,moyen
59585,Templemars,59,3635,True,51.3,0.0,0.0,0.0,faible
59586,Templeuve-en-Pévèle,59,6705,False,40.9,0.0,48.6,48.6,fort
59592,Thumeries,59,4029,False,0.0,0.0,9.5,9.5,nul
59594,Thun-Saint-Amand,59,1110,False,77.0,0.0,0.0,0.0,faible
59598,Toufflers,59,3910,True,3.2,93.7,0.0,93.7,moyen
59599,Tourcoing,59,99011,True,2.9,96.8,0.0,96.8,moyen
59602,Tressin,59,1395,True,100.0,0.0,0.0,0.0,faible
59603,Trith-Saint-Léger,59,6124,False,89.3,0.0,0.0,0.0,faible
59588,Téteghem-Coudekerque-Village,59,8384,False,0.0,99.8,0.0,99.8,moyen
59606,Valenciennes,59,42991,False,86.3,0.0,0.0,0.0,faible
59609,Vendeville,59,1546,True,0.0,0.0,0.0,0.0,nul
59610,Verchain-Maugré,59,1102,False,99.6,0.0,0.0,0.0,faible
59611,Verlinghem,59,2673,True,1.4,98.4,0.2,98.6,moyen
59615,Vieux-Berquin,59,2649,False,6.3,93.7,0.0,93.7,moyen
59616,Vieux-Condé,59,10446,False,92.1,0.0,0.0,0.0,faible
59009,Villeneuve-d'Ascq,59,62067,True,73.3,18.7,7.9,26.6,faible
59622,Villers-en-Cauchies,59,1161,False,100.0,0.0,0.0,0.0,faible
59629,Vred,59,1311,False,78.2,0.0,0.0,0.0,faible
59630,Wahagnies,59,2605,False,16.4,5.3,27.2,32.5,nul
59632,Wallers,59,5598,False,92.7,0.0,0.0,0.0,faible
59636,Wambrechies,59,10798,True,23.0,75.3,1.7,77.0,moyen
59637,Wandignies-Hamage,59,1318,False,99.8,0.0,0.0,0.0,faible
59638,Wannehain,59,1331,False,59.8,0.0,9.0,9.0,faible
59639,Wargnies-le-Grand,59,1101,False,100.0,0.0,0.0,0.0,faible
59641,Warhem,59,2022,False,0.0,99.8,0.2,100.0,moyen
59646,Wasquehal,59,20836,True,44.2,55.8,0.0,55.8,moyen
59647,Watten,59,2577,False,11.6,26.6,36.4,63.0,fort
59648,Wattignies,59,15531,True,52.8,0.0,0.0,0.0,faible
