code_insee,commune,dep,PMUN,dans_MEL,navetteurs_MEL,actifs_occ_residents,part_MEL,EPCI,ZE2020,AAV2020,BV2022
59522,Sailly-lez-Lannoy,59,1949,True,851,901,94.5,200093201,3218,004,59350
59523,Sainghin-en-Mélantois,59,2848,True,1150,1308,87.9,200093201,3216,004,59350
59524,Sainghin-en-Weppes,59,5641,True,2195,2560,85.7,200093201,3216,004,59653
59526,Saint-Amand-les-Eaux,59,15980,False,1147,6345,18.1,200042190,3222,004,59526
59527,Saint-André-lez-Lille,59,12942,True,5670,6299,90.0,200093201,3216,004,59350
59535,Saint-Jans-Cappel,59,1642,False,268,692,38.7,200040947,3216,004,59017
59544,Saint-Saulve,59,11117,False,347,4350,8.0,245901160,3222,038,59606
59546,Saint-Sylvestre-Cappel,59,1154,False,75,441,17.1,200040947,3213,236,59580
59550,Salomé,59,3051,True,972,1400,69.4,200093201,3216,004,59051
59551,Saméon,59,1738,False,241,722,33.4,200041960,3222,004,59526
59553,Santes,59,5660,True,2163,2508,86.3,200093201,3216,004,59350
59557,Saultain,59,2553,False,94,1154,8.2,245901160,3222,038,59606
59559,Sebourg,59,1977,False,50,822,6.1,245901160,3222,038,59606
59560,Seclin,59,12834,True,4504,5456,82.6,200093201,3216,004,59350
59566,Sequedin,59,4762,True,1677,1833,91.5,200093201,3216,004,59350
59569,Sin-le-Noble,59,15603,False,648,5312,12.2,200044618,3212,059,59178
59574,Somain,59,11790,False,615,4098,15.0,245901152,3212,303,59574
59578,Steenbecque,59,1650,False,80,751,10.6,200040947,3219,236,59295
59580,Steenvoorde,59,4324,False,358,1853,19.3,200040947,3213,650,59580
59581,Steenwerck,59,3540,False,789,1660,47.5,200040947,3216,004,59017
59585,Templemars,59,3635,True,1486,1682,88.4,200093201,3216,004,59350
59586,Templeuve-en-Pévèle,59,6705,False,1744,2964,58.8,200041960,3216,004,59466
59592,Thumeries,59,4029,False,922,1868,49.4,200041960,3216,004,62498
59594,Thun-Saint-Amand,59,1110,False,80,499,16.1,200042190,3222,004,59526
59598,Toufflers,59,3910,True,1517,1672,90.7,200093201,3218,004,59350
59599,Tourcoing,59,99011,True,32793,37242,88.1,200093201,3218,004,59350
59602,Tressin,59,1395,True,608,648,93.8,200093201,3216,004,59350
59603,Trith-Saint-Léger,59,6124,False,170,2401,7.1,200042190,3222,038,59606
59588,Téteghem-Coudekerque-Village,59,8384,False,151,3380,4.5,245900428,3213,048,59183
59606,Valenciennes,59,42991,False,1459,16244,9.0,245901160,3222,038,59606
