code_insee,commune,dep,PMUN,dans_MEL,prix_maison_m2,n_ventes_maison,evol_prix_maison_24_25_pct,prix_appart_m2,n_ventes_appart,loyers_maison_m2,loyers_appart_m2,prix_maison_faible_echantillon
59550,Salomé,59,3051,True,2031.0,79,14.3,,0,10.13,11.84,False
59551,Saméon,59,1738,False,2086.0,15,,,0,10.77,14.99,False
59553,Santes,59,5660,True,2673.0,112,-0.0,1794.0,1,11.9,14.21,False
59557,Saultain,59,2553,False,2152.0,37,,,0,11.76,12.28,False
59559,Sebourg,59,1977,False,1607.0,38,,,0,9.05,12.8,False
59560,Seclin,59,12834,True,2278.0,247,15.2,2327.0,9,11.24,13.64,False
59566,Sequedin,59,4762,True,2826.0,89,-0.8,1811.0,2,11.96,13.95,False
59569,Sin-le-Noble,59,15603,False,1412.0,251,-1.2,632.0,12,8.74,11.27,False
59574,Somain,59,11790,False,1341.0,195,-3.2,1095.0,7,9.15,10.89,False
59578,Steenbecque,59,1650,False,1429.0,27,,,0,7.91,10.7,False
59580,Steenvoorde,59,4324,False,1823.0,79,6.2,2101.0,3,9.75,11.36,False
59581,Steenwerck,59,3540,False,1815.0,43,19.3,2047.0,4,9.68,11.36,False
59585,Templemars,59,3635,True,2697.0,71,-1.6,2413.0,4,11.89,13.63,False
59586,Templeuve-en-Pévèle,59,6705,False,2656.0,160,-0.5,2182.0,11,11.97,13.85,False
59592,Thumeries,59,4029,False,2315.0,64,-12.4,,0,10.29,11.59,False
59594,Thun-Saint-Amand,59,1110,False,1510.0,17,,,0,9.38,11.92,False
59598,Toufflers,59,3910,True,2639.0,96,-2.7,2622.0,1,11.07,13.63,False
59599,Tourcoing,59,99011,True,1773.0,1725,1.3,1707.0,163,10.12,13.17,False
59602,Tressin,59,1395,True,3240.0,33,,1568.0,1,12.3,13.85,False
59603,Trith-Saint-Léger,59,6124,False,1393.0,59,14.4,1040.0,4,9.04,10.52,False
59588,Téteghem-Coudekerque-Village,59,8384,False,2466.0,170,7.3,2542.0,3,12.22,14.4,False
59606,Valenciennes,59,42991,False,1598.0,585,5.7,1895.0,304,9.64,12.11,False
59609,Vendeville,59,1546,True,2964.0,44,,2246.0,1,12.87,13.69,False
59610,Verchain-Maugré,59,1102,False,1107.0,22,,,0,7.95,11.48,False
59611,Verlinghem,59,2673,True,3375.0,58,24.5,1171.0,1,12.45,14.97,False
59615,Vieux-Berquin,59,2649,False,1648.0,53,,,0,9.53,10.7,False
59616,Vieux-Condé,59,10446,False,1154.0,129,1.0,1026.0,1,8.35,10.54,False
59009,Villeneuve-d'Ascq,59,62067,True,3002.0,772,2.3,2461.0,138,13.52,14.33,False
59622,Villers-en-Cauchies,59,1161,False,1608.0,15,,,0,8.54,9.45,False
59629,Vred,59,1311,False,1807.0,23,,,0,9.87,11.21,False
59630,Wahagnies,59,2605,False,2069.0,53,-7.9,,0,10.29,11.59,False
59632,Wallers,59,5598,False,1733.0,59,14.1,1000.0,2,8.78,10.71,False
59636,Wambrechies,59,10798,True,3444.0,204,0.7,2802.0,7,12.7,14.87,False
59637,Wandignies-Hamage,59,1318,False,1525.0,26,,,0,9.58,11.06,False
59638,Wannehain,59,1331,False,3315.0,25,,,0,12.3,13.85,False
59639,Wargnies-le-Grand,59,1101,False,1822.0,12,,,0,9.05,11.16,True
59641,Warhem,59,2022,False,2042.0,32,,,0,9.29,12.46,False
59646,Wasquehal,59,20836,True,3223.0,366,-6.5,3143.0,19,13.66,15.07,False
59647,Watten,59,2577,False,1463.0,56,-5.8,,0,8.52,10.13,False
59648,Wattignies,59,15531,True,2439.0,238,14.1,1777.0,18,11.72,13.91,False
59650,Wattrelos,59,40836,True,1881.0,700,7.4,1468.0,46,10.25,14.01,False
59651,Wavrechain-sous-Denain,59,1616,False,1167.0,25,,,0,8.33,10.57,False
59653,Wavrin,59,7773,True,2526.0,166,-2.0,,0,13.14,12.7,False
59654,Waziers,59,7354,False,1111.0,105,8.7,727.0,1,8.43,10.53,False
59656,Wervicq-Sud,59,5299,True,2649.0,64,-13.6,1457.0,1,11.29,13.55,False
59660,Willems,59,2996,True,2501.0,70,-1.5,2344.0,4,12.3,13.35,False
59662,Winnezeele,59,1300,False,1764.0,28,,,0,9.29,11.23,False
59663,Wormhout,59,5705,False,1970.0,99,-3.9,1392.0,3,9.92,12.58,False
59185,Écaillon,59,1910,False,1343.0,11,,,0,8.93,11.21,True
62004,Achicourt,62,7938,False,1910.0,129,5.1,1500.0,6,10.82,12.38,False
62013,Agny,62,1879,False,1821.0,27,,,0,9.95,10.5,False
62014,Aire-sur-la-Lys,62,9585,False,1357.0,152,-2.3,957.0,21,7.93,10.05,False
62019,Aix-Noulette,62,3913,False,1688.0,84,-4.9,1527.0,1,8.46,11.6,False
62032,Angres,62,4842,False,1794.0,57,16.5,753.0,1,8.46,11.6,False
62033,Annay,62,4517,False,1604.0,73,-9.0,,0,9.16,11.44,False
62034,Annequin,62,2145,False,1679.0,22,,,0,8.97,11.02,False
62035,Annezin,62,5813,False,1543.0,142,-3.1,,0,8.84,10.89,False
62037,Anzin-Saint-Aubin,62,2806,False,2324.0,56,19.4,,0,10.54,14.63,False
62040,Arques,62,9655,False,1640.0,148,-3.3,1649.0,4,8.57,11.45,False
62041,Arras,62,42600,False,1905.0,420,3.6,2312.0,267,10.29,12.66,False
62042,Athies,62,1059,False,1882.0,15,,,0,10.32,11.99,False
62048,Auchel,62,10062,False,1162.0,126,-6.1,861.0,11,8.02,10.29,False
62051,Auchy-les-Mines,62,4623,False,1908.0,78,1.5,1106.0,1,9.73,11.02,False
62065,Avion,62,17672,False,1547.0,162,9.1,627.0,3,9.21,11.59,False
62073,Bailleul-Sir-Berthoult,62,1430,False,1870.0,29,,,0,9.94,11.99,False
62083,Barlin,62,7366,False,1356.0,74,9.9,,0,8.73,11.6,False
62099,Beaurains,62,5515,False,1984.0,108,7.9,,0,10.19,11.9,False
62471,Bellinghem,62,1087,False,1483.0,16,,1580.0,1,7.91,10.7,False
62126,Beuvry,62,9111,False,1577.0,132,-4.2,1115.0,3,8.64,10.91,False
