code_insee,commune,dep,PMUN,dans_MEL,part_logts_vacants,part_maisons,part_proprietaires,part_hlm,part_menages_sans_voiture,part_menages_2voit_plus,evol_pop_2016_2022_pct
59360,Loos,59,23013,True,7.8,36.7,37.9,28.7,27.5,20.4,3.9
59361,Lourches,59,3814,False,13.9,87.5,42.9,29.4,28.0,28.4,-4.7
59367,Lys-lez-Lannoy,59,13793,True,4.5,62.0,59.0,21.0,12.2,36.2,4.9
59369,Maing,59,4004,False,8.5,89.5,75.1,5.5,12.7,44.0,-2.6
59375,Marchiennes,59,4539,False,7.4,88.6,75.0,9.5,9.1,47.0,-1.9
59378,Marcq-en-Barœul,59,39356,True,5.5,51.6,58.5,16.4,15.4,31.8,2.9
59382,Maretz,59,1417,False,12.0,97.0,75.1,1.2,14.6,43.1,-4.0
59383,Marly,59,12024,False,6.2,66.4,50.1,29.0,19.1,28.9,4.2
59387,Marquette-en-Ostrevant,59,1931,False,6.1,94.7,72.7,10.5,8.1,51.9,4.9
59386,Marquette-lez-Lille,59,11213,True,3.2,65.8,59.1,19.4,11.9,36.5,12.3
59388,Marquillies,59,1982,True,4.8,92.2,78.1,9.4,5.4,54.4,-0.8
59390,Masny,59,4056,False,6.2,93.5,44.9,34.9,20.3,35.5,-2.5
59392,Maubeuge,59,29066,False,8.7,58.2,46.1,30.7,26.8,23.9,-2.7
59399,Merris,59,1049,False,3.9,95.2,84.0,2.4,4.6,57.5,5.2
59400,Merville,59,9652,False,6.6,84.3,63.6,16.9,12.9,41.8,-1.1
59408,Moncheaux,59,1703,False,4.1,98.4,82.9,3.7,6.4,56.1,11.4
59409,Monchecourt,59,2501,False,5.4,97.7,72.3,11.4,8.4,47.4,-0.2
59410,Mons-en-Barœul,59,21467,True,6.4,42.9,44.9,31.6,28.0,22.0,2.5
59411,Mons-en-Pévèle,59,2089,False,6.5,95.3,82.8,0.7,8.0,53.1,-2.3
59414,Montigny-en-Ostrevent,59,4681,False,4.8,89.6,52.4,29.1,17.4,35.7,-4.1
59416,Morbecque,59,2509,False,9.8,91.8,84.3,2.4,5.2,52.8,-0.7
59418,Mortagne-du-Nord,59,1584,False,7.9,83.8,52.0,22.2,16.0,40.2,-3.7
59419,Mouchin,59,1441,False,7.4,92.4,82.9,1.8,3.7,58.8,4.9
59421,Mouvaux,59,13173,True,4.6,69.3,68.8,14.4,9.4,40.7,-0.7
59398,Mérignies,59,3360,False,5.0,92.2,85.0,4.0,3.3,67.7,15.9
59401,Méteren,59,2256,False,6.2,95.3,76.7,6.1,5.3,53.5,-2.2
59423,Neuf-Berquin,59,1403,False,4.4,95.3,76.8,9.9,3.3,60.3,16.7
59426,Neuville-en-Ferrain,59,10160,True,3.1,85.5,75.6,15.9,8.6,45.5,-2.4
59431,Nieppe,59,7606,False,5.5,78.8,62.7,21.3,12.1,43.2,3.2
59434,Nivelle,59,1379,False,6.5,98.6,85.9,0.0,2.6,62.6,7.1
59435,Nomain,59,2585,False,5.1,93.3,77.7,5.2,5.2,59.8,4.8
59447,Onnaing,59,8719,False,7.8,89.4,53.2,25.6,18.6,35.9,-2.4
59449,Orchies,59,8455,False,6.3,65.4,50.6,25.1,16.0,32.1,-2.8
59452,Ostricourt,59,5829,False,7.8,94.6,56.4,28.5,16.2,42.5,11.9
59456,Pecquencourt,59,6232,False,7.1,91.2,40.5,41.2,18.6,35.1,3.1
59459,Petite-Forêt,59,5058,False,5.9,85.9,67.3,20.9,11.6,41.4,3.4
59462,Phalempin,59,4849,False,4.9,78.4,73.0,8.5,7.8,45.0,2.2
59466,Pont-à-Marcq,59,2883,False,3.5,72.7,65.5,12.9,8.8,42.9,5.5
59475,Prouvy,59,2173,False,6.4,95.5,66.6,22.0,13.2,40.5,-3.8
59477,Provin,59,4469,True,6.0,88.4,71.7,18.3,8.7,44.3,5.0
59470,Prémesques,59,2060,True,2.6,95.0,81.9,6.1,5.4,55.0,-5.1
59471,Préseau,59,2065,False,5.9,96.1,78.1,7.5,9.5,53.9,8.5
59457,Pérenchies,59,8519,True,4.5,70.4,65.3,16.9,14.5,36.9,1.4
59458,Péronne-en-Mélantois,59,1004,True,6.5,93.4,79.4,9.4,2.6,62.7,10.9
59479,Quarouble,59,3131,False,8.7,93.9,76.3,9.1,11.5,44.0,4.2
59482,Quesnoy-sur-Deûle,59,6920,True,4.5,81.9,68.4,17.1,10.9,45.8,1.2
59485,Quiévy,59,1801,False,8.3,98.5,81.2,2.0,12.6,42.1,2.0
59487,Radinghem-en-Weppes,59,1393,True,4.6,92.8,87.5,3.2,2.8,61.7,2.9
59489,Raimbeaucourt,59,4015,False,7.2,96.3,75.0,10.9,12.5,46.3,-1.1
59491,Raismes,59,12055,False,8.9,79.2,44.8,32.8,23.5,28.2,-4.0
59497,Renescure,59,2128,False,6.9,95.9,74.4,10.4,8.2,46.6,2.0
59499,Rexpoëde,59,1992,False,4.4,94.4,74.8,8.2,6.6,50.7,-2.1
59501,Rieulay,59,1243,False,5.5,97.5,80.2,11.9,11.5,46.9,-9.9
59502,Rieux-en-Cambrésis,59,1438,False,6.9,96.2,67.2,10.3,12.3,43.7,-1.9
59507,Ronchin,59,19437,True,4.0,53.5,54.8,22.3,21.9,25.9,1.9
59508,Roncq,59,13784,True,3.0,68.2,63.1,21.8,10.0,40.5,3.0
59509,Roost-Warendin,59,5976,False,6.2,95.0,60.7,25.3,15.1,40.7,-3.6
59511,Rosult,59,1973,False,5.2,97.6,85.8,0.6,6.0,59.0,4.7
59512,Roubaix,59,98892,True,9.4,41.5,33.5,33.1,37.7,16.2,3.2
59519,Rumegies,59,1740,False,4.7,95.2,81.6,2.8,6.7,56.0,-1.4
59486,Râches,59,2660,False,6.0,92.7,74.7,10.0,11.9,45.0,-3.4
59504,Rœulx,59,3779,False,5.2,95.0,67.9,13.1,16.0,40.2,-1.6
59522,Sailly-lez-Lannoy,59,1949,True,2.7,95.0,84.4,7.9,5.2,59.7,9.2
59523,Sainghin-en-Mélantois,59,2848,True,5.3,88.9,74.2,10.2,6.4,52.3,5.8
59524,Sainghin-en-Weppes,59,5641,True,6.3,88.7,72.8,12.0,8.3,48.2,0.4
59526,Saint-Amand-les-Eaux,59,15980,False,9.8,70.0,53.0,19.9,18.2,32.0,-0.7
59527,Saint-André-lez-Lille,59,12942,True,4.7,50.0,54.7,19.1,16.5,28.9,5.0
59535,Saint-Jans-Cappel,59,1642,False,4.0,95.0,80.4,7.0,6.5,52.2,-7.0
59544,Saint-Saulve,59,11117,False,6.6,62.8,54.9,26.3,14.8,34.4,-0.4
59546,Saint-Sylvestre-Cappel,59,1154,False,7.7,92.0,77.8,11.9,8.6,45.9,-1.7
59550,Salomé,59,3051,True,6.3,92.9,68.9,16.1,8.2,47.8,5.0
59551,Saméon,59,1738,False,4.6,98.5,89.0,1.9,3.9,59.9,4.9
59553,Santes,59,5660,True,2.9,91.0,78.5,9.7,7.8,49.7,-1.9
59557,Saultain,59,2553,False,4.8,84.4,65.8,15.5,7.4,45.8,8.0
59559,Sebourg,59,1977,False,6.1,98.6,87.2,0.8,5.7,61.5,0.3
59560,Seclin,59,12834,True,5.2,62.2,55.3,26.2,17.5,30.3,4.4
59566,Sequedin,59,4762,True,5.5,80.1,76.1,9.4,6.6,43.9,0.5
59569,Sin-le-Noble,59,15603,False,7.0,80.6,51.5,26.1,20.1,30.8,3.0
59574,Somain,59,11790,False,7.8,84.6,49.7,26.6,22.2,30.0,-4.7
59578,Steenbecque,59,1650,False,5.1,97.0,81.8,6.2,6.3,56.1,-4.7
59580,Steenvoorde,59,4324,False,7.7,86.0,67.1,5.7,11.9,41.0,-0.8
59581,Steenwerck,59,3540,False,6.0,91.9,72.6,11.3,8.3,50.7,-4.1
59585,Templemars,59,3635,True,4.6,76.2,72.9,10.7,10.9,41.3,8.2
59586,Templeuve-en-Pévèle,59,6705,False,6.2,82.8,72.0,5.8,9.6,44.6,17.7
59592,Thumeries,59,4029,False,4.8,94.7,81.0,8.3,9.2,50.5,4.8
