nom_gare,n,retard5,med_s
Le Cateau,156,3.8461538461538463,0.0
Landrecies,137,3.64963503649635,0.0
Sin-le-Noble,329,3.64741641337386,0.0
Croix - Wasquehal,146,3.4246575342465753,0.0
Brunémont,118,3.389830508474576,0.0
Pont de bois,437,2.9748283752860414,0.0
Ascq,447,2.684563758389262,0.0
Baisieux,455,2.6373626373626373,0.0
Croix l'Allumette,114,2.631578947368421,0.0
Roubaix,511,2.5440313111545985,0.0
Lezennes,122,0.819672131147541,0.0
Beau Marais,129,0.7751937984496124,0.0
Gravelines,160,0.625,0.0
Grande-Synthe,109,0.0,0.0
Bourbourg,155,0.0,0.0
