code_insee,commune,dep,PMUN,dans_MEL,voiture_pointe_min,voiture_libre_min,bouchons_min,voiture_km,temps_sans_voiture_min,mode_sans_voiture,meilleur_temps_vers_lille_min,gare_utile_sur_place,indice_congestion,part_trajet_bouchons_pct,min_perdues_jour,h_perdues_an,vitesse_pointe_kmh,vitesse_libre_kmh,sans_alternative
59305,Herzeele,59,1634,False,56.0,37.9,18.1,58.2,,,86.0,False,1.478,32.3,36.0,133.0,62.0,92.0,True
62048,Auchel,62,10062,False,74.4,56.4,18.0,78.3,,,69.6,False,1.319,24.2,36.0,132.0,63.0,83.0,True
62252,La Couture,62,2616,False,57.2,39.3,17.9,37.6,93.0,velo+TER,76.4,False,1.455,31.3,36.0,131.0,39.0,57.0,False
62684,Racquinghem,62,2214,False,67.1,49.2,17.9,63.5,,,82.2,False,1.364,26.7,36.0,131.0,57.0,77.0,True
62391,Guarbecque,62,1369,False,73.8,55.9,17.9,55.2,,,65.7,False,1.32,24.3,36.0,131.0,45.0,59.0,True
62529,Lorgies,62,1609,False,49.9,32.0,17.9,28.5,75.0,velo+TER,62.2,False,1.559,35.9,36.0,131.0,34.0,53.0,False
59663,Wormhout,59,5705,False,58.6,40.8,17.8,60.4,98.0,velo+TER,81.4,False,1.436,30.4,36.0,131.0,62.0,89.0,False
59486,Râches,59,2660,False,46.3,28.5,17.8,34.3,76.0,velo+TER,61.6,False,1.625,38.4,36.0,131.0,44.0,72.0,False
59054,Bavinchove,59,1046,False,62.1,44.4,17.7,58.2,62.0,TER,62.0,True,1.399,28.5,35.0,130.0,56.0,79.0,False
59509,Roost-Warendin,59,5976,False,51.9,34.2,17.7,37.2,66.0,velo+TER,58.7,False,1.518,34.1,35.0,130.0,43.0,65.0,False
59133,Carnin,59,1076,True,41.0,23.3,17.7,22.2,64.0,velo+TER,51.0,False,1.76,43.2,35.0,130.0,32.0,57.0,False
59084,Blaringhem,59,2043,False,64.9,47.3,17.6,60.5,,,61.1,False,1.372,27.1,35.0,129.0,56.0,77.0,True
62706,Richebourg,62,2618,False,54.0,36.5,17.5,33.1,,,78.2,False,1.479,32.4,35.0,128.0,37.0,54.0,True
62907,Libercourt,62,8138,False,35.7,18.2,17.5,22.5,30.8,TER ~ velo+TER,30.8,True,1.962,49.0,35.0,128.0,38.0,74.0,False
59239,Flines-lez-Raches,59,5610,False,46.1,28.7,17.5,32.4,,,59.2,False,1.606,38.0,35.0,128.0,42.0,68.0,True
59008,Aniche,59,9997,False,57.8,40.4,17.4,46.4,71.0,velo+TER,61.2,False,1.431,30.1,35.0,128.0,48.0,69.0,False
59158,Coutiches,59,3246,False,39.7,22.3,17.4,28.4,57.0,velo+TER,40.9,False,1.78,43.8,35.0,128.0,43.0,76.0,False
62040,Arques,62,9655,False,69.6,52.4,17.3,64.4,88.0,velo+TER,75.3,False,1.328,24.9,35.0,127.0,56.0,74.0,False
59123,Camphin-en-Carembault,59,1714,False,40.1,22.8,17.3,21.0,47.0,velo+TER,40.4,False,1.759,43.1,35.0,127.0,31.0,55.0,False
62525,Longuenesse,62,10568,False,73.3,55.9,17.3,71.8,81.0,velo+TER,73.3,False,1.311,23.6,35.0,127.0,59.0,77.0,False
62520,Locon,62,2342,False,60.9,43.6,17.3,41.7,90.0,velo+TER,75.7,False,1.397,28.4,35.0,127.0,41.0,57.0,False
59327,Lallaing,59,6250,False,50.1,32.9,17.2,36.7,65.0,velo+TER,55.1,False,1.523,34.3,34.0,126.0,44.0,67.0,False
59637,Wandignies-Hamage,59,1318,False,49.8,32.5,17.2,38.0,,,64.5,False,1.532,34.5,34.0,126.0,46.0,70.0,True
62014,Aire-sur-la-Lys,62,9585,False,68.0,50.8,17.2,65.4,,,65.7,False,1.339,25.3,34.0,126.0,58.0,77.0,True
59387,Marquette-en-Ostrevant,59,1931,False,60.9,43.8,17.1,50.6,,,66.4,False,1.39,28.1,34.0,125.0,50.0,69.0,True
