uic,nom,dep,code_insee,commune,role
87286583,Orchies,59,59449,Orchies,npdc
87295667,Ors,59,59450,Ors,npdc
87345249,Ostricourt,59,59452,Ostricourt,npdc
87342550,Pernes - Camblain,62,62197,Camblain-Châtelain,npdc
87286500,Phalempin,59,59462,Phalempin,npdc
87316679,Pihen,62,62657,Pihen-lès-Guînes,npdc
87281410,Pont d'Ardres,62,62038,Ardres,npdc
87317115,Pont de Briques,62,62746,Saint-Étienne-au-Mont,npdc
87345124,Pont de Sallaumines,62,62771,Sallaumines,npdc
87286831,Pont de bois,59,59009,Villeneuve-d'Ascq,npdc
87345207,Pont de la Deûle,59,59234,Flers-en-Escrebieux,npdc
87345264,Pont-à-Vendin,62,62666,Pont-à-Vendin,npdc
87343418,Prouvy - Thiant,59,59475,Prouvy,npdc
87286278,Pérenchies,59,59457,Pérenchies,npdc
87343319,Raismes,59,59491,Raismes,npdc
87317057,Rang-du-Fliers - Verton - Berck,62,62688,Rang-du-Fliers,npdc
87295022,Recquignies,59,59495,Recquignies,npdc
87281451,Renescure,59,59497,Renescure,npdc
87342089,Roeux,62,62718,Rœux,npdc
87286534,Ronchin,59,59507,Ronchin,npdc
87286567,Rosult,59,59511,Rosult,npdc
87286732,Roubaix,59,59512,Roubaix,npdc
87287300,Ruminghem,62,62730,Ruminghem,npdc
87295709,Sains-du-Nord,59,59525,Sains-du-Nord,npdc
87343103,Saint-Amand-les-Eaux,59,59526,Saint-Amand-les-Eaux,npdc
87286195,Saint-André,59,59527,Saint-André-lez-Lille,npdc
87297531,Saint-Hilaire,59,59534,Saint-Hilaire-sur-Helpe,npdc
87281444,Saint-Omer,62,62765,Saint-Omer,npdc
87342337,Saint-Pol-sur-Ternoise,62,62767,Saint-Pol-sur-Ternoise,npdc
87345215,Sallaumines,62,62771,Sallaumines,npdc
87342451,Salomé,59,59550,Salomé,npdc
87286401,Santes,59,59553,Santes,npdc
87342253,Savy-Berlette,62,62785,Savy-Berlette,npdc
87286518,Seclin,59,59560,Seclin,npdc
87345405,Sin-le-Noble,59,59569,Sin-le-Noble,npdc
87345314,Somain,59,59574,Somain,npdc
87295543,Sous le Bois,59,59392,Maubeuge,npdc
87342295,Steenbecque,59,59578,Steenbecque,npdc
87286161,Steenwerck,59,59043,Bailleul,npdc
87286203,Strazeele,59,59582,Strazeele,npdc
87286625,Templeuve,59,59586,Templeuve-en-Pévèle,npdc
87342287,Thiennes,59,59590,Thiennes,npdc
87342303,Tincques,62,62820,Tincques,npdc
87286542,Tourcoing,59,59599,Tourcoing,npdc
87343400,Trith-Saint-Léger,59,59603,Trith-Saint-Léger,npdc
87343004,Valenciennes,59,59606,Valenciennes,npdc
87342576,Vimy,62,62861,Vimy,npdc
87342535,Vis à Marles,62,62555,Marles-les-Mines,npdc
87342113,Vitry-en-Artois,62,62865,Vitry-en-Artois,npdc
87343301,Wallers,59,59632,Wallers,npdc
87345595,Wambaix,59,59635,Wambaix,npdc
87281436,Watten - Éperlecques,62,62297,Éperlecques,npdc
87286526,Wattignies - Templemars,59,59585,Templemars,npdc
87286419,Wavrin,59,59653,Wavrin,npdc
87317123,Wimille - Wimereux,62,62894,Wimille,npdc
87317065,Étaples - Le Touquet,62,62318,Étaples,npdc
