poll_utc,feed_time,code_pme,route,vitesse_kmh,debit_vh
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001011200,A1,83.0,360
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0027010102,A27,,380
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0041010100,N41,88.0,50
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0027010101,A27,,380
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9022010250,A22 (rocade),85.0,70
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001020150,A1,112.0,490
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0356011700,N356,73.0,310
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0356021300,N356,69.0,370
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022011400,A22,74.0,40
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0027010300,A27,,120
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9022020250,A22 (rocade),69.0,130
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0041010300,N41,,190
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022011210,A22,,60
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0027020100,A27,78.0,120
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001010300,A1,,370
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022011220,A22,,60
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9022101110,A22 (rocade),84.0,80
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022022110,A22,92.0,600
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001011420,A1,92.0,360
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0356010800,N356,73.0,360
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9001210710,A1 (bretelle),75.0,120
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0356021110,N356,76.0,450
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001010510,A1,,410
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0356021122,N356,67.0,400
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0356021121,N356,76.0,450
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025010210,A25,79.0,510
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025011300,A25,85.0,220
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001020300,A1,112.0,450
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025021100,A25,,140
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025023520,A25,117.0,80
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022022130,A22,90.0,580
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025010220,A25,79.0,510
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022022120,A22,95.0,580
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001010520,A1,108.0,410
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022011000,A22,,250
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001020510,A1,111.0,480
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001021602,A1,89.0,790
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A22TC020222,A22 (contournement),95.0,320
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001010940,A1,104.0,390
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025023320,A25,121.0,100
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001020520,A1,106.0,490
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025023100,A25,,80
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A22TC020230,A22 (contournement),95.0,320
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025021730,A25,89.0,190
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025023910,A25,,110
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025021735,A25,102.0,230
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0023010400,A23,104.0,190
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022021900,A22,86.0,520
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9022100500,A22 (rocade),77.0,270
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001020940,A1,91.0,490
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001020700,A1,102.0,480
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9022020830,A22 (rocade),79.0,50
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9022020822,A22 (rocade),,460
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9022020821,A22 (rocade),,460
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025020420,A25,76.0,390
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025021510,A25,,110
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0227010100,N227,66.0,180
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025011720,A25,96.0,280
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025021760,A25,88.0,250
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025011730,A25,86.0,250
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025011735,A25,94.0,230
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9025080700,A25 (bretelle),,40
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9022100930,A22 (rocade),72.0,20
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0356011220,N356,74.0,340
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025011740,A25,85.0,220
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025010410,A25,,360
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0023010200,A23,,170
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9001210120,A1 (bretelle),73.0,70
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025020210,A25,81.0,590
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0356011210,N356,74.0,340
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025011510,A25,87.0,210
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025020220,A25,81.0,590
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0227010302,N227,76.0,360
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0041010500,N41,,150
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0227020101,N227,86.0,210
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9022100110,A22 (rocade),60.0,100
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022010400,A22,79.0,180
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N0356010302,N356,76.0,600
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025010800,A25,84.0,300
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0027020621,A27,103.0,170
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0027020630,A27,104.0,160
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022021512,A22,82.0,410
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022021511,A22,83.0,390
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0027020610,A27,103.0,170
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025021720,A25,100.0,180
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022021520,A22,82.0,410
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025022140,A25,,180
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022011302,A22,80.0,170
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025022160,A25,111.0,200
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9025060104,A25 (bretelle),74.0,140
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0027010201,A27,92.0,270
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0027010202,A27,,110
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,N9227110110,N227 (bretelle),81.0,90
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025012130,A25,,180
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0027010210,A27,,110
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025011050,A25,,160
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0027010421,A27,96.0,160
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022012420,A22,98.0,220
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0027010430,A27,101.0,140
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0023020710,A23,112.0,190
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022012430,A22,99.0,210
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025012160,A25,129.0,200
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9022021200,A22 (rocade),70.0,10
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001021100,A1,90.0,360
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A9022101000,A22 (rocade),,30
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025013020,A25,130.0,100
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0027010410,A27,96.0,160
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0022012410,A22,99.0,210
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001A20112,A1,91.0,180
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001A20111,A1,,120
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025010320,A25,,320
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0001021521,A1,89.0,380
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025022540,A25,115.0,110
2026-09-13T03:41:20Z,2026-09-13T05:30:00.000+02:00,A0025022300,A25,,80
