poll_utc,feed_time,code_pme,route,vitesse_kmh,debit_vh
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0001011200,A1,74.0,1690
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0027010102,A27,86.0,1090
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,N0041010100,N41,88.0,560
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0027010101,A27,86.0,1090
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A9022010250,A22 (rocade),95.0,130
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0001020150,A1,98.0,1150
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,N0356011700,N356,81.0,830
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,N0356021300,N356,69.0,1050
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0022011400,A22,80.0,340
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0027010300,A27,91.0,340
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A9022020250,A22 (rocade),,400
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,N0041010300,N41,91.0,1190
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0022011210,A22,,250
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0027020100,A27,75.0,350
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0001010300,A1,121.0,1930
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0022011220,A22,,250
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A9022101110,A22 (rocade),83.0,480
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0022022110,A22,89.0,1300
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0001011420,A1,90.0,1220
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,N0356010800,N356,77.0,920
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A9001210710,A1 (bretelle),76.0,1150
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,N0356021110,N356,79.0,1140
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0001010510,A1,100.0,1990
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,N0356021122,N356,68.0,1110
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,N0356021121,N356,79.0,1140
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0025010210,A25,79.0,1510
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0025011300,A25,85.0,500
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0001020300,A1,100.0,1050
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0025021100,A25,92.0,960
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0025023520,A25,107.0,460
2026-09-25T04:00:55Z,2026-09-25T05:54:00.000+02:00,A0022022130,A22,90.0,1330
