poll_utc,feed_time,code_pme,route,vitesse_kmh,debit_vh
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001011200,A1,83.0,300
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027010102,A27,90.0,350
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0041010100,N41,85.0,100
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027010101,A27,90.0,350
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9022010250,A22 (rocade),89.0,40
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001020150,A1,103.0,430
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356011700,N356,75.0,380
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356021300,N356,69.0,340
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022011400,A22,82.0,110
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027010300,A27,87.0,160
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9022020250,A22 (rocade),,70
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0041010300,N41,86.0,120
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022011210,A22,,30
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027020100,A27,71.0,140
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001010300,A1,43.0,340
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022011220,A22,,30
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9022101110,A22 (rocade),77.0,150
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022022110,A22,90.0,390
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001011420,A1,91.0,260
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356010800,N356,74.0,440
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9001210710,A1 (bretelle),70.0,140
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356021110,N356,78.0,450
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001010510,A1,102.0,310
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356021122,N356,68.0,480
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356021121,N356,78.0,450
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025010210,A25,78.0,430
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025011300,A25,,150
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001020300,A1,106.0,430
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025021100,A25,88.0,220
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025023520,A25,114.0,100
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022022130,A22,84.0,400
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025010220,A25,78.0,430
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022022120,A22,93.0,380
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001010520,A1,107.0,350
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022011000,A22,,200
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001020510,A1,107.0,450
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001021602,A1,90.0,690
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A22TC020222,A22 (contournement),105.0,230
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001010940,A1,105.0,330
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025023320,A25,119.0,130
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001020520,A1,103.0,460
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025023100,A25,112.0,120
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A22TC020230,A22 (contournement),105.0,230
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025021730,A25,86.0,190
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025023910,A25,,70
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025021735,A25,99.0,200
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0023010400,A23,100.0,130
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022021900,A22,84.0,330
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9022100500,A22 (rocade),81.0,220
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001020940,A1,93.0,550
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001020700,A1,100.0,460
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9022020830,A22 (rocade),87.0,60
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9022020822,A22 (rocade),88.0,220
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9022020821,A22 (rocade),88.0,220
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025020420,A25,,410
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025021510,A25,,130
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0227010100,N227,67.0,100
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025011720,A25,98.0,270
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025021760,A25,86.0,210
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025011730,A25,89.0,250
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025011735,A25,101.0,260
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9025080700,A25 (bretelle),,80
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9022100930,A22 (rocade),80.0,10
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356011220,N356,73.0,400
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025011740,A25,87.0,260
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025010410,A25,,390
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0023010200,A23,,130
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9001210120,A1 (bretelle),83.0,80
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025020210,A25,76.0,430
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356011210,N356,73.0,400
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025011510,A25,90.0,120
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025020220,A25,76.0,430
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0227010302,N227,79.0,160
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0041010500,N41,,80
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0227020101,N227,95.0,230
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9022100110,A22 (rocade),69.0,70
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022010400,A22,,120
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356010302,N356,77.0,520
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025010800,A25,75.0,290
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027020621,A27,103.0,120
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027020630,A27,106.0,130
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022021512,A22,85.0,280
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022021511,A22,85.0,280
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027020610,A27,103.0,120
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025021720,A25,97.0,180
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022021520,A22,85.0,280
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025022140,A25,111.0,150
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022011302,A22,77.0,150
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025022160,A25,106.0,170
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9025060104,A25 (bretelle),75.0,150
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027010201,A27,90.0,230
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027010202,A27,90.0,80
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N9227110110,N227 (bretelle),,50
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025012130,A25,,220
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027010210,A27,90.0,80
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025011050,A25,,150
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025012140,A25,,60
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027010421,A27,92.0,220
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022012420,A22,96.0,350
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027010430,A27,95.0,210
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0023020710,A23,106.0,120
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022012430,A22,89.0,300
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025012160,A25,132.0,260
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9022021200,A22 (rocade),69.0,20
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001021100,A1,92.0,510
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9022101000,A22 (rocade),,80
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025013020,A25,118.0,180
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027010410,A27,92.0,220
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022012410,A22,95.0,330
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001A20112,A1,96.0,210
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001A20111,A1,,130
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001021521,A1,90.0,420
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025022540,A25,110.0,200
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025022300,A25,111.0,170
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356021000,N356,80.0,440
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A22TC010102,A22 (contournement),82.0,160
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001011503,A1,93.0,440
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022012200,A22,85.0,310
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001A20120,A1,92.0,200
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A22TC020102,A22 (contournement),89.0,210
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A22TC010300,A22 (contournement),87.0,140
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022012010,A22,86.0,210
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022012020,A22,86.0,210
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025022130,A25,124.0,140
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0023010520,A23,106.0,130
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0041020800,N41,,110
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025010500,A25,,270
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022020901,A22,,260
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022020902,A22,,180
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022021810,A22,84.0,300
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356011100,N356,73.0,420
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022021820,A22,84.0,300
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356020802,N356,78.0,430
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9022020900,A22 (rocade),,50
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025020102,A25,70.0,140
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025022530,A25,113.0,210
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A9001210200,A1 (bretelle),69.0,150
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022010700,A22,,80
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0041020400,N41,86.0,100
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0023020720,A23,,130
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022020500,A22,,130
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N93563b0150,N356 (bretelle),90.0,10
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025020950,A25,87.0,290
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0023020300,A23,,150
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001011000,A1,86.0,290
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0027020500,A27,,110
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356011500,N356,,390
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0001010150,A1,110.0,360
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0356020400,N356,70.0,190
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,N0041020600,N41,,70
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025010700,A25,,260
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0002011230,A2,112.0,250
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0025020500,A25,75.0,300
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0002021290,A2,107.0,290
2026-09-20T03:41:17Z,2026-09-20T05:30:00.000+02:00,A0022011600,A22,84.0,230
