poll_utc,feed_time,code_pme,route,vitesse_kmh,debit_vh
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0001011200,A1,74.0,1360
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0027010102,A27,83.0,970
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,N0041010100,N41,83.0,400
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0027010101,A27,83.0,970
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A9022010250,A22 (rocade),97.0,70
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0001020150,A1,95.0,1110
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,N0356011700,N356,77.0,780
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,N0356021300,N356,68.0,780
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0022011400,A22,81.0,210
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0027010300,A27,90.0,420
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A9022020250,A22 (rocade),55.0,280
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,N0041010300,N41,89.0,800
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0022011210,A22,,140
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0027020100,A27,74.0,390
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0001010300,A1,113.0,1090
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0022011220,A22,,140
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A9022101110,A22 (rocade),83.0,420
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0022022110,A22,90.0,1350
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0001011420,A1,82.0,900
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,N0356010800,N356,75.0,740
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A9001210710,A1 (bretelle),76.0,460
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,N0356021110,N356,77.0,940
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0001010510,A1,101.0,1720
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,N0356021122,N356,67.0,890
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,N0356021121,N356,77.0,940
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0025010210,A25,80.0,970
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0025011300,A25,86.0,450
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0001020300,A1,95.0,970
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0025021100,A25,,610
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0025023520,A25,104.0,300
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0022022130,A22,86.0,1330
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0025010220,A25,80.0,970
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0022022120,A22,92.0,1330
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0001010520,A1,96.0,1780
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0022011000,A22,81.0,580
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0001020510,A1,96.0,1070
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0001021602,A1,84.0,1880
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A22TC020222,A22 (contournement),82.0,700
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0001010940,A1,95.0,1720
2026-09-17T03:41:16Z,2026-09-17T05:30:00.000+02:00,A0025023320,A25,108.0,560
